City,State,Median Income (16 and over)
Auburn,Alabama,31442
Birmingham,Alabama,34547
Dothan,Alabama,37493
Hoover,Alabama,58486
Huntsville,Alabama,42391
Mobile,Alabama,36795
Montgomery,Alabama,35022
Tuscaloosa,Alabama,35651
Anchorage municipality,Alaska,54653
Avondale,Arizona,43231
Buckeye,Arizona,55286
Casas Adobes CDP,Arizona,44080
Chandler,Arizona,54648
Flagstaff,Arizona,31979
Gilbert town,Arizona,60308
Glendale,Arizona,40678
Goodyear,Arizona,54393
Maricopa,Arizona,51913
Mesa,Arizona,45077
Peoria,Arizona,48631
Phoenix,Arizona,45314
Queen Creek town,Arizona,56781
San Tan Valley CDP,Arizona,44719
Scottsdale,Arizona,64118
Surprise,Arizona,49873
Tempe,Arizona,43262
Tucson,Arizona,35269
Yuma,Arizona,38626
Conway,Arkansas,42353
Fayetteville,Arkansas,37445
Fort Smith,Arkansas,33362
Jonesboro,Arkansas,37429
Little Rock,Arkansas,41222
Rogers,Arkansas,44068
Springdale,Arkansas,38155
Alameda,California,82773
Alhambra,California,51560
Anaheim,California,40058
Antioch,California,49606
Apple Valley town,California,38808
Arden-Arcade CDP,California,46039
Bakersfield,California,39683
Baldwin Park,California,32306
Bellflower,California,40046
Berkeley,California,60077
Brentwood,California,70273
Buena Park,California,47588
Burbank,California,53313
Camarillo,California,60005
Carlsbad,California,87441
Carmichael CDP,California,51013
Carson,California,46590
Castro Valley CDP,California,80746
Chico,California,35142
Chino,California,50265
Chino Hills,California,52654
Chula Vista,California,47722
Citrus Heights,California,45035
Clovis,California,54360
Compton,California,34924
Concord,California,50378
Corona,California,46293
Costa Mesa,California,51052
Daly,California,51014
Davis,California,35221
Downey,California,42738
Dublin,California,112352
East Los Angeles CDP,California,30653
Eastvale,California,66578
El Cajon,California,40280
Elk Grove,California,52617
El Monte,California,32326
Escondido,California,42889
Fairfield,California,53969
Folsom,California,76422
Fontana,California,41598
Fremont,California,97169
Fresno,California,39338
Fullerton,California,52042
Garden Grove,California,38857
Glendale,California,51596
Hawthorne,California,40535
Hayward,California,53171
Hemet,California,38202
Hesperia,California,39369
Huntington Beach,California,64959
Indio,California,40704
Inglewood,California,36652
Irvine,California,76779
Jurupa Valley,California,37284
Lake Elsinore,California,44753
Lake Forest,California,60423
Lakewood,California,52250
Lancaster,California,45923
Livermore,California,74427
Lodi,California,42155
Long Beach,California,47825
Los Angeles,California,42342
Lynwood,California,32374
Madera,California,30333
