State,Total population,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age,18 years and over,21 years and over,62 years and over
Alabama,"5,074,296","345,126","652,152","632,416","617,680","318,087","341,576","546,189","281,791","85,033",39.6,"3,963,268","3,740,839","1,115,768"
Alaska,"733,583","52,259","113,900","104,911","81,813","43,503","43,617","68,896","26,870","5,708",35.9,"557,838","530,734","127,751"
Arizona,"7,359,197","522,484","1,018,691","926,470","855,266","414,587","456,688","781,078","471,625","129,251",38.8,"5,771,594","5,479,621","1,654,674"
Arkansas,"3,045,637","209,906","385,877","387,640","363,403","181,881","199,981","315,159","169,508","54,175",38.9,"2,349,805","2,224,439","658,015"
California,"39,029,342","2,639,787","5,744,459","5,395,388","4,877,813","2,356,663","2,333,548","3,568,539","1,878,688","711,675",37.9,"30,530,336","28,971,158","7,528,702"
Colorado,"5,839,926","395,695","915,942","860,355","704,694","327,914","359,438","562,352","268,623","84,686",37.7,"4,628,831","4,402,108","1,129,744"
Connecticut,"3,626,205","243,507","450,510","460,313","455,401","256,256","258,996","381,828","199,913","81,971",40.9,"2,895,781","2,739,659","818,271"
Delaware,"1,018,396","59,981","130,563","125,307","112,870","65,121","78,000","126,996","66,312","18,872",41.5,"810,169","769,624","260,120"
District of Columbia,"671,803","48,043","145,253","111,221","71,561","30,859","32,983","50,100","27,846","9,408",34.9,"547,559","519,804","106,696"
Florida,"22,244,823","1,340,486","2,783,761","2,799,499","2,734,163","1,472,092","1,520,481","2,604,014","1,638,608","551,792",42.7,"17,949,929","17,173,813","5,701,562"
Georgia,"10,912,876","771,563","1,483,997","1,469,050","1,399,249","681,208","655,201","998,558","502,309","143,408",37.6,"8,407,208","7,944,999","2,032,087"
Hawaii,"1,440,196","89,347","190,091","192,131","170,144","85,230","91,593","163,041","94,511","37,102",40.8,"1,143,330","1,096,073","349,372"
Idaho,"1,939,033","141,188","250,343","256,103","219,658","108,296","116,248","200,204","98,886","30,440",37.5,"1,474,413","1,393,829","399,602"
Illinois,"12,582,032","850,982","1,689,818","1,673,268","1,557,011","798,387","809,415","1,262,869","656,343","245,728",39.1,"9,865,826","9,382,977","2,642,662"
Indiana,"6,833,037","489,814","886,951","866,145","815,195","414,046","444,697","688,473","350,997","117,956",38.2,"5,263,663","4,970,757","1,424,537"
Iowa,"3,200,517","231,721","401,666","405,073","361,104","188,738","214,051","341,121","179,782","67,976",38.9,"2,483,769","2,343,680","716,881"
Kansas,"2,937,150","218,626","377,319","382,629","323,536","171,124","183,941","296,501","151,007","58,834",37.6,"2,248,938","2,119,340","613,340"
Kentucky,"4,512,310","301,356","587,159","569,323","557,593","279,552","306,759","477,806","235,960","77,347",39.4,"3,507,430","3,332,221","975,245"
Louisana,"4,590,241","315,728","592,066","611,300","533,153","262,705","316,836","472,005","236,926","71,130",38.2,"3,531,381","3,342,828","970,359"
Maine,"1,385,340","79,753","165,876","169,999","169,264","101,581","110,528","185,668","94,186","33,039",45.1,"1,139,849","1,094,878","377,772"
Maryland,"6,164,660","379,802","804,952","840,212","772,926","408,464","416,883","608,167","317,893","116,719",39.7,"4,817,929","4,591,262","1,288,293"
Massachusetts,"6,981,974","491,572","968,621","907,291","858,029","474,572","478,771","731,781","381,747","146,572",40.3,"5,645,986","5,339,036","1,547,748"
Michigan,"10,034,118","687,971","1,315,373","1,219,208","1,201,643","649,226","715,940","1,123,560","552,700","201,302",40.3,"7,927,890","7,525,994","2,305,604"
Minnesota,"5,717,184","364,158","743,021","781,414","656,345","348,705","394,033","582,404","295,745","116,898",39.0,"4,428,971","4,213,047","1,230,847"
Mississippi,"2,940,057","209,168","351,516","379,896","353,218","166,777","198,731","309,684","153,908","49,592",38.9,"2,263,972","2,130,887","631,014"
Missouri,"6,177,957","411,856","808,963","794,549","714,086","375,467","429,809","651,424","342,439","119,273",39.1,"4,815,166","4,564,505","1,366,113"
Montana,"1,122,867","75,198","145,978","146,403","123,314","64,992","78,615","138,176","67,441","20,519",40.2,"888,685","844,681","274,276"
Nebraska,"1,967,923","135,424","250,983","263,908","215,803","106,172","128,331","196,677","100,598","37,622",37.4,"1,493,226","1,409,447","411,867"
Nevada,"3,177,772","194,836","456,422","440,794","397,253","198,602","192,290","324,759","170,974","42,758",39.0,"2,488,119","2,377,199","652,110"
New Hampshire,"1,395,231","83,149","182,003","172,049","171,645","103,977","113,123","170,182","82,122","29,679",43.3,"1,143,538","1,089,913","349,014"
New Jersey,"9,261,699","569,581","1,183,821","1,233,720","1,195,456","625,009","632,491","924,597","501,190","185,939",40.4,"7,271,522","6,947,554","1,997,412"
New Mexico,"2,113,344","145,968","274,314","275,394","238,273","124,063","136,301","241,981","125,380","37,423",39.4,"1,657,869","1,571,214","487,713"
New York,"19,677,151","1,298,992","2,762,250","2,536,794","2,405,807","1,305,675","1,317,119","2,032,279","1,097,128","435,189",40.0,"15,695,913","14,933,275","4,346,590"
North Carolina,"10,698,973","738,731","1,420,429","1,376,684","1,345,894","664,013","698,486","1,115,768","576,762","174,084",39.2,"8,406,045","7,955,246","2,286,250"
North Dakota,"779,261","57,873","112,725","106,486","75,736","42,226","47,320","75,806","37,296","17,191",36.2,"598,296","560,672","159,780"
Ohio,"11,756,058","766,640","1,539,071","1,475,428","1,402,439","740,167","805,159","1,287,086","647,241","234,338",39.9,"9,197,902","8,734,215","2,650,395"
Oklahoma,"4,019,800","289,564","534,957","532,522","456,850","223,204","251,612","390,170","208,329","63,497",37.1,"3,066,378","2,894,499","813,730"
Oregon,"4,240,137","259,457","596,347","593,849","524,584","242,699","269,737","487,945","245,665","83,104",40.5,"3,407,770","3,253,969","977,929"
Pennsylvania,"12,972,008","829,180","1,677,321","1,623,572","1,541,463","847,170","923,164","1,467,823","771,084","300,147",40.9,"10,349,850","9,801,876","3,103,368"
Rhode Island,"1,093,734","76,125","150,979","137,922","129,195","73,528","80,450","120,395","62,229","23,493",40.7,"890,588","837,857","255,054"
South Carolina,"5,282,634","351,883","663,662","667,920","630,345","326,972","367,405","608,018","308,314","92,286",40.5,"4,165,492","3,951,168","1,232,735"
South Dakota,"909,824","60,455","111,152","116,031","97,020","51,885","63,738","101,562","45,076","19,271",38.5,"690,843","653,047","203,864"
Tennessee,"7,051,339","472,131","964,188","909,015","867,729","449,565","459,649","729,543","371,939","116,482",39.2,"5,516,206","5,244,890","1,494,371"
Texas,"30,029,572","2,145,802","4,329,357","4,238,922","3,687,865","1,641,396","1,662,758","2,461,155","1,191,925","384,005",35.6,"22,589,909","21,330,100","5,005,866"
Utah,"3,380,800","299,515","494,776","461,217","373,195","149,430","160,595","245,616","120,140","37,943",32.1,"2,450,207","2,294,743","496,260"
Vermont,"647,064","43,805","77,515","80,179","75,793","41,144","53,185","83,560","42,914","13,353",43.2,"533,330","498,934","172,615"
Virginia,"8,683,619","602,285","1,156,622","1,180,820","1,068,270","557,202","553,826","858,719","453,375","149,948",39.0,"6,821,532","6,461,475","1,800,050"
Washington,"7,785,786","499,354","1,176,297","1,115,638","936,835","451,753","480,544","786,321","390,798","132,023",38.4,"6,141,759","5,884,735","1,602,427"
West Virginia,"1,775,156","114,325","207,092","216,666","221,995","114,295","126,356","224,674","115,024","36,464",42.9,"1,423,613","1,352,917","452,834"
Wisconsin,"5,892,539","407,006","733,729","742,993","692,508","392,381","424,503","658,466","324,703","119,217",40.4,"4,650,759","4,410,387","1,355,209"
Wyoming,"581,381","36,882","72,434","81,607","64,361","35,054","38,352","68,377","31,530","8,081",39.1,"451,778","427,524","130,749"
Puerto Rico,"3,221,789","216,771","405,834","398,749","404,722","215,212","223,075","383,979","275,913","96,954",44.7,"2,703,453","2,579,711","893,284"
