City,State,Total Population
Auburn,Alabama,80009
Birmingham,Alabama,196353
Dothan,Alabama,70524
Hoover,Alabama,92427
Huntsville,Alabama,222363
Mobile,Alabama,183282
Montgomery,Alabama,196986
Tuscaloosa,Alabama,110598
Anchorage municipality,Alaska,287145
Avondale,Arizona,91618
Buckeye,Arizona,105567
Casas Adobes CDP,Arizona,75513
Chandler,Arizona,280684
Flagstaff,Arizona,75902
Gilbert town,Arizona,275359
Glendale,Arizona,252141
Goodyear,Arizona,105404
Maricopa,Arizona,66287
Mesa,Arizona,512523
Peoria,Arizona,197862
Phoenix,Arizona,1644403
Queen Creek town,Arizona,69345
San Tan Valley CDP,Arizona,117415
Scottsdale,Arizona,243027
Surprise,Arizona,154194
Tempe,Arizona,185939
Tucson,Arizona,546598
Yuma,Arizona,98517
Conway,Arkansas,67616
Fayetteville,Arkansas,99288
Fort Smith,Arkansas,89981
Jonesboro,Arkansas,79884
Little Rock,Arkansas,202851
Rogers,Arkansas,72996
Springdale,Arkansas,85844
Alameda,California,76039
Alhambra,California,80264
Anaheim,California,344462
Antioch,California,115268
Apple Valley town,California,75856
Arden-Arcade CDP,California,95936
Bakersfield,California,410654
Baldwin Park,California,69450
Bellflower,California,76405
Berkeley,California,118942
Brentwood,California,66120
Buena Park,California,82451
Burbank,California,103919
Camarillo,California,70287
Carlsbad,California,114161
Carmichael CDP,California,82145
Carson,California,92391
Castro Valley CDP,California,66506
Chico,California,101304
Chino,California,93149
Chino Hills,California,77923
Chula Vista,California,279158
Citrus Heights,California,86440
Clovis,California,124546
Compton,California,91979
Concord,California,122616
Corona,California,159534
Costa Mesa,California,109527
Daly,California,99990
Davis,California,67057
Downey,California,109908
Dublin,California,72061
East Los Angeles CDP,California,112965
Eastvale,California,71015
El Cajon,California,104417
Elk Grove,California,177558
El Monte,California,105307
Escondido,California,150258
Fairfield,California,119333
Folsom,California,83273
Fontana,California,212448
Fremont,California,223859
Fresno,California,545564
Fullerton,California,140552
Garden Grove,California,169265
Glendale,California,189228
Hawthorne,California,84564
Hayward,California,156773
Hemet,California,90688
Hesperia,California,100766
Huntington Beach,California,194306
Indio,California,91991
Inglewood,California,103628
Irvine,California,313705
Jurupa Valley,California,107603
Lake Elsinore,California,71905
Lake Forest,California,85635
Lakewood,California,79042
Lancaster,California,169192
Livermore,California,84722
Lodi,California,67273
Long Beach,California,451319
Los Angeles,California,3822224
Lynwood,California,64081
