City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
8900 e. buckeye ave.,ELEC,WA,2.0,,,,
Abbeville,ELEC,SC,2.0,,,,
Abbott,ELEC,TX,8.0,,,,
Aberdeen,ELEC,SD,89.0,,,,
Abesecon,ELEC,NJ,4.0,,,,
Abilene,ELEC,TX,23.0,Texas,35115.0,Texas,128149.0
Abingdon,ELEC,VA,28.0,,,,
Abington,ELEC,PA,6.0,,,,
Abita springs,ELEC,LA,4.0,,,,
Absecon,ELEC,NJ,2.0,,,,
Acampo,ELEC,CA,4.0,,,,
Accokeek,ELEC,MD,4.0,,,,
Acme,ELEC,MI,6.0,,,,
Acton,ELEC,MA,27.0,,,,
Acushnet,ELEC,MA,2.0,,,,
Acworth,ELEC,GA,21.0,,,,
Ada,ELEC,OK,39.0,,,,
Adairsville,ELEC,GA,23.0,,,,
Addison,ELEC,IL,27.0,,,,
Adel,ELEC,IA,2.0,,,,
Adelphi,ELEC,MD,2.0,,,,
Adrian,ELEC,MI,2.0,,,,
Afton,ELEC,VA,5.0,,,,
Agawam,ELEC,MA,14.0,,,,
Agoura,ELEC,CA,4.0,,,,
Agoura hills,ELEC,CA,55.0,,,,
Aguilar,ELEC,CO,1.0,,,,
Ahwahnee,ELEC,CA,10.0,,,,
Aiea,ELEC,HI,16.0,,,,
Aiken,ELEC,SC,10.0,,,,
Ainsworth,ELEC,NE,2.0,,,,
Airway heights,ELEC,WA,15.0,,,,
Ajo,ELEC,AZ,4.0,,,,
Akron,ELEC,OH,80.0,Ohio,36969.0,Ohio,188498.0
Akwesasne,ELEC,NY,6.0,,,,
Alabaster,ELEC,AL,4.0,,,,
Alachua,ELEC,FL,12.0,,,,
Alameda,ELEC,CA,145.0,California,82773.0,California,76039.0
"Alameda, ca",ELEC,CA,2.0,,,,
Alamo,ELEC,NV,1.0,,,,
Alamo heights,ELEC,TX,4.0,,,,
Alamogordo,ELEC,NM,5.0,,,,
Alamosa,ELEC,CO,10.0,,,,
Alanson,ELEC,MI,3.0,,,,
Albany,ELEC,OR,554.0,Georgia,26766.0,Georgia,67922.0
Albany,ELEC,OR,554.0,Georgia,26766.0,New York,100832.0
Albany,ELEC,OR,554.0,New York,39005.0,Georgia,67922.0
Albany,ELEC,OR,554.0,New York,39005.0,New York,100832.0
Albemarle,ELEC,NC,4.0,,,,
Albert lea,ELEC,MN,18.0,,,,
Albertville,ELEC,AL,5.0,,,,
Albia,ELEC,IA,2.0,,,,
Albion,ELEC,NY,14.0,,,,
Albuquerque,ELEC,NM,189.0,New Mexico,41984.0,New Mexico,561006.0
Alcoa,ELEC,TN,10.0,,,,
Alderson,ELEC,WV,1.0,,,,
Aledo,ELEC,TX,1.0,,,,
Alexander,ELEC,NC,2.0,,,,
Alexander city,ELEC,AL,6.0,,,,
Alexandria,ELEC,VA,266.0,Virginia,79029.0,Virginia,155525.0
Algoma,ELEC,WI,2.0,,,,
Algona,ELEC,IA,2.0,,,,
Algonquin,ELEC,IL,20.0,,,,
Alhambra,ELEC,CA,104.0,California,51560.0,California,80264.0
Alice,ELEC,TX,11.0,,,,
Aliceville,ELEC,AL,1.0,,,,
Alington,ELEC,VA,3.0,,,,
Aliquippa,ELEC,PA,1.0,,,,
Aliso viejo,ELEC,CA,59.0,,,,
Allegan,ELEC,MI,6.0,,,,
Allen,ELEC,NE,29.0,Texas,66616.0,Texas,111548.0
Allen park,ELEC,MI,24.0,,,,
Allendale charter township,ELEC,MI,6.0,,,,
Allentown,ELEC,PA,120.0,Pennsylvania,35493.0,Pennsylvania,125105.0
Allenwood,ELEC,PA,2.0,,,,
Allston,ELEC,MA,19.0,,,,
Alma,ELEC,CO,8.0,,,,
Almont,ELEC,CO,7.0,,,,
Aloha,ELEC,OR,3.0,,,,
Alpena,ELEC,MI,2.0,,,,
Alpharetta,ELEC,GA,183.0,Georgia,72557.0,Georgia,67276.0
Alpine,ELEC,CA,15.0,,,,
Alsip,ELEC,IL,4.0,,,,
Alston,ELEC,MA,1.0,,,,
Alta,ELEC,UT,1.0,,,,
Altamont,ELEC,NY,30.0,,,,
Altamonte springs,ELEC,FL,18.0,,,,
Altavista,ELEC,VA,4.0,,,,
Alto,ELEC,GA,2.0,,,,
Alton,ELEC,IL,11.0,,,,
Altoona,ELEC,PA,46.0,,,,
Altos hills,ELEC,CA,16.0,,,,
Alturas,ELEC,CA,10.0,,,,
Altus,ELEC,OK,2.0,,,,
Altus afb,ELEC,OK,6.0,,,,
Alva,ELEC,OK,2.0,,,,
Alvarado,ELEC,TX,14.0,,,,
Alvin,ELEC,TX,4.0,,,,
Alys beach,ELEC,FL,4.0,,,,
Amagansett,ELEC,NY,4.0,,,,
Amana,ELEC,IA,3.0,,,,
Amarillo,ELEC,TX,52.0,Texas,40124.0,Texas,203477.0
Ambler,ELEC,PA,25.0,,,,
Ambridge,ELEC,PA,4.0,,,,
Amelia island,ELEC,FL,2.0,,,,
Amenia,ELEC,NY,10.0,,,,
Amer cyn,ELEC,CA,3.0,,,,
American canyon,ELEC,CA,8.0,,,,
American falls,ELEC,ID,1.0,,,,
American fork,ELEC,UT,12.0,,,,
Americus,ELEC,GA,3.0,,,,
Amerst,ELEC,NY,2.0,,,,
Amery,ELEC,WI,5.0,,,,
Ames,ELEC,IA,29.0,Iowa,24227.0,Iowa,66950.0
Amesbury,ELEC,MA,31.0,,,,
Amherst,ELEC,NY,116.0,,,,
Amity,ELEC,OR,5.0,,,,
Amityville,ELEC,NY,13.0,,,,
Ammon,ELEC,ID,1.0,,,,
Amsterdam,ELEC,NY,44.0,,,,
Anacortes,ELEC,WA,23.0,,,,
Anacostia naval station,ELEC,DC,1.0,,,,
Anadarko,ELEC,OK,8.0,,,,
Anaheim,ELEC,CA,605.0,California,40058.0,California,344462.0
Anahola,ELEC,HI,2.0,,,,
Anchorage,ELEC,AK,18.0,,,,
Ancram,ELEC,NY,4.0,,,,
Andalusia,ELEC,AL,4.0,,,,
Anderson,ELEC,SC,25.0,,,,
Andes,ELEC,NY,2.0,,,,
Andover,ELEC,MN,32.0,,,,
Andrews afb,ELEC,MD,31.0,,,,
Angel fire,ELEC,NM,2.0,,,,
Angels camp,ELEC,CA,2.0,,,,
Angola,ELEC,IN,19.0,,,,
Angwin,ELEC,CA,2.0,,,,
Ankeny,ELEC,IA,12.0,Iowa,60388.0,Iowa,72219.0
Ann arbo,ELEC,MI,2.0,,,,
Ann arbor,ELEC,MI,186.0,Michigan,40617.0,Michigan,119871.0
Annadale-on- hudson,ELEC,NY,4.0,,,,
Annandale,ELEC,MN,14.0,,,,
Annapolis,ELEC,MD,237.0,,,,
Annapolis junction,ELEC,MD,47.0,,,,
Anniston,ELEC,AL,7.0,,,,
Ansonia,ELEC,CT,4.0,,,,
Ansted,ELEC,WV,4.0,,,,
Antelope,ELEC,CA,1.0,,,,
Anthem,ELEC,AZ,4.0,,,,
Anthony,ELEC,TX,2.0,,,,
Antigo,ELEC,WI,2.0,,,,
Antioch,ELEC,CA,55.0,California,49606.0,California,115268.0
Antlers,ELEC,OK,4.0,,,,
Anza,ELEC,CA,8.0,,,,
Apache junction,ELEC,AZ,4.0,,,,
Apalachicola,ELEC,FL,11.0,,,,
Apex,ELEC,NC,15.0,,,,
Apollo beach,ELEC,FL,8.0,,,,
Apopka,ELEC,FL,26.0,,,,
Apple valley,ELEC,CA,6.0,,,,
Appleton,ELEC,WI,42.0,Wisconsin,45023.0,Wisconsin,75018.0
Appleton city,ELEC,MO,1.0,,,,
Aptos,ELEC,CA,14.0,,,,
Aquebogue,ELEC,NY,1.0,,,,
Aquinnah,ELEC,MA,4.0,,,,
Aransas pass,ELEC,TX,3.0,,,,
Arbovale,ELEC,WV,2.0,,,,
Arbutus,ELEC,MD,6.0,,,,
Arcade,ELEC,NY,2.0,,,,
Arcadia,ELEC,CA,55.0,,,,
Arcata,ELEC,CA,25.0,,,,
Archbold,ELEC,OH,3.0,,,,
Archdale,ELEC,NC,14.0,,,,
Archer heights,ELEC,IL,4.0,,,,
Arco,ELEC,ID,6.0,,,,
Arcola,ELEC,IL,2.0,,,,
Arden,ELEC,NC,22.0,,,,
Arden hills,ELEC,MN,1.0,,,,
Ardmore,ELEC,PA,34.0,,,,
Arecibo,ELEC,PR,1.0,,,,
Argonne,ELEC,IL,2.0,,,,
Arkadelphia,ELEC,AR,10.0,,,,
Arkansas city,ELEC,KS,1.0,,,,
Arkville,ELEC,NY,2.0,,,,
Arleta,ELEC,CA,1.0,,,,
