City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Abilene,ELEC,TX,23.0,Texas,35115.0,Texas,128149.0
Akron,ELEC,OH,80.0,Ohio,36969.0,Ohio,188498.0
Alameda,ELEC,CA,145.0,California,82773.0,California,76039.0
Albany,ELEC,OR,554.0,Georgia,26766.0,Georgia,67922.0
Albany,ELEC,OR,554.0,Georgia,26766.0,New York,100832.0
Albany,ELEC,OR,554.0,New York,39005.0,Georgia,67922.0
Albany,ELEC,OR,554.0,New York,39005.0,New York,100832.0
Albuquerque,ELEC,NM,189.0,New Mexico,41984.0,New Mexico,561006.0
Alexandria,ELEC,VA,266.0,Virginia,79029.0,Virginia,155525.0
Alhambra,ELEC,CA,104.0,California,51560.0,California,80264.0
Allen,ELEC,NE,29.0,Texas,66616.0,Texas,111548.0
Allentown,ELEC,PA,120.0,Pennsylvania,35493.0,Pennsylvania,125105.0
Alpharetta,ELEC,GA,183.0,Georgia,72557.0,Georgia,67276.0
Amarillo,ELEC,TX,52.0,Texas,40124.0,Texas,203477.0
Ames,ELEC,IA,29.0,Iowa,24227.0,Iowa,66950.0
Anaheim,ELEC,CA,605.0,California,40058.0,California,344462.0
Ankeny,ELEC,IA,12.0,Iowa,60388.0,Iowa,72219.0
Ann arbor,ELEC,MI,186.0,Michigan,40617.0,Michigan,119871.0
Antioch,ELEC,CA,55.0,California,49606.0,California,115268.0
Appleton,ELEC,WI,42.0,Wisconsin,45023.0,Wisconsin,75018.0
Arlington,ELEC,TX,645.0,Texas,38539.0,Texas,394573.0
Arvada,ELEC,CO,45.0,Colorado,62063.0,Colorado,121672.0
Asheville,ELEC,NC,172.0,North Carolina,42081.0,North Carolina,93782.0
Atlanta,ELEC,GA,1870.0,Georgia,62215.0,Georgia,499121.0
Auburn,ELEC,WA,246.0,Alabama,31442.0,Alabama,80009.0
Auburn,ELEC,WA,246.0,Alabama,31442.0,Washington,83976.0
Auburn,ELEC,WA,246.0,Washington,53913.0,Alabama,80009.0
Auburn,ELEC,WA,246.0,Washington,53913.0,Washington,83976.0
Aurora,ELEC,CO,329.0,Colorado,45260.0,Colorado,393319.0
Aurora,ELEC,CO,329.0,Colorado,45260.0,Illinois,182336.0
Aurora,ELEC,CO,329.0,Illinois,43780.0,Colorado,393319.0
