City,State,Total EV Chargers,Median Income (16 and over),Total Population
Abilene,Texas,23,35115,128149
Akron,Ohio,80,36969,188498
Alameda,California,145,82773,76039
Albany,Georgia,554,26766,67922
Albany,New York,554,26766,100832
Albany,Georgia,554,39005,67922
Albany,New York,554,39005,100832
Albuquerque,New Mexico,189,41984,561006
Alexandria,Virginia,266,79029,155525
Alhambra,California,104,51560,80264
Allen,Texas,29,66616,111548
Allentown,Pennsylvania,120,35493,125105
Alpharetta,Georgia,183,72557,67276
Amarillo,Texas,52,40124,203477
Ames,Iowa,29,24227,66950
Anaheim,California,605,40058,344462
Ankeny,Iowa,12,60388,72219
Ann arbor,Michigan,186,40617,119871
Antioch,California,55,49606,115268
Appleton,Wisconsin,42,45023,75018
Arlington,Texas,645,38539,394573
Arvada,Colorado,45,62063,121672
Asheville,North Carolina,172,42081,93782
Atlanta,Georgia,1870,62215,499121
Auburn,Alabama,246,31442,80009
Auburn,Washington,246,31442,83976
Auburn,Alabama,246,53913,80009
Auburn,Washington,246,53913,83976
Aurora,Colorado,329,45260,393319
Aurora,Illinois,329,45260,182336
Aurora,Colorado,329,43780,393319
Aurora,Illinois,329,43780,182336
Austin,Texas,1460,56759,975335
Avondale,Arizona,37,43231,91618
Bakersfield,California,227,39683,410654
Baldwin park,California,58,32306,69450
Baltimore,Maryland,921,46458,569931
Baton rouge,Louisiana,107,36469,221451
Baytown,Texas,42,39344,86203
Beaumont,Texas,88,36834,112090
Beaverton,Oregon,276,54056,97064
Bellevue,Washington,633,98403,152765
Bellflower,California,43,40046,76405
Bellingham,Washington,108,36613,93899
Bend,Oregon,113,50197,103263
Berkeley,California,183,60077,118942
Bethlehem,Pennsylvania,71,44730,78854
Billings,Montana,39,44831,119969
Birmingham,Alabama,148,34547,196353
Bismarck,North Dakota,21,48620,74444
Blaine,Minnesota,33,55594,71738
Bloomington,Illinois,219,49912,78874
Bloomington,Indiana,219,49912,77358
Bloomington,Minnesota,219,49912,87799
Bloomington,Illinois,219,30234,78874
Bloomington,Indiana,219,30234,77358
Bloomington,Minnesota,219,30234,87799
Bloomington,Illinois,219,52359,78874
Bloomington,Indiana,219,52359,77358
Bloomington,Minnesota,219,52359,87799
Boca raton,Florida,247,54672,98997
Boise,Idaho,165,45196,236632
Boston,Massachusetts,1114,60102,649768
Boulder,Colorado,442,41897,105482
Bowling green,Kentucky,60,30511,74929
Boynton beach,Florida,55,43413,80866
Brentwood,California,165,70273,66120
Bridgeport,Connecticut,55,38156,148365
Brockton,Massachusetts,45,45326,104833
Broken arrow,Oklahoma,42,47907,120448
Brooklyn park,Minnesota,32,48936,83319
Broomfield,Colorado,132,67484,76121
Brownsville,Texas,25,30131,189381
Bryan,Texas,18,39054,87793
Buckeye,Arizona,20,55286,105567
Buena park,California,64,47588,82451
Buffalo,New York,386,36716,276491
Burbank,California,262,53313,103919
Caldwell,Idaho,8,35584,65925
Camarillo,California,94,60005,70287
Cambridge,Massachusetts,556,64493,118489
Camden,New Jersey,31,29396,70998
Canton,Ohio,123,31975,69666
Cape coral,Florida,15,41776,216984
Carlsbad,California,183,87441,114161
Carmel,Indiana,59,71096,101286
Carrollton,Texas,30,53554,133240
Carson,California,74,46590,92391
Cedar park,Texas,77,68693,80212
Cedar rapids,Iowa,51,41051,136438
Centennial,Colorado,68,71211,105860
Champaign,Illinois,82,38926,89245
Chandler,Arizona,204,54648,280684
Charleston,South Carolina,130,51854,153743
Charlotte,North Carolina,778,49521,897720
Chattanooga,Tennessee,190,42930,184071
Chesapeake,Virginia,40,50160,252488
Cheyenne,Wyoming,20,46600,64623
Chicago,Illinois,887,50723,2665064
Chico,California,104,35142,101304
Chino,California,11,50265,93149
Chino hills,California,35,52654,77923
Chula vista,California,172,47722,279158
Cincinnati,Ohio,357,39890,309536
