City,Fuel Type Code,State,EV Total Port Count (Beta)
8900 e. buckeye ave.,ELEC,WA,2.0
abbeville,ELEC,SC,2.0
abbott,ELEC,TX,8.0
aberdeen,ELEC,SD,89.0
abesecon,ELEC,NJ,4.0
abilene,ELEC,TX,23.0
abingdon,ELEC,VA,28.0
abington,ELEC,PA,6.0
abita springs,ELEC,LA,4.0
absecon,ELEC,NJ,2.0
acampo,ELEC,CA,4.0
accokeek,ELEC,MD,4.0
acme,ELEC,MI,6.0
acton,ELEC,MA,27.0
acushnet,ELEC,MA,2.0
acworth,ELEC,GA,21.0
ada,ELEC,OK,39.0
adairsville,ELEC,GA,23.0
addison,ELEC,IL,27.0
adel,ELEC,IA,2.0
adelphi,ELEC,MD,2.0
adrian,ELEC,MI,2.0
afton,ELEC,VA,5.0
agawam,ELEC,MA,14.0
agoura,ELEC,CA,4.0
agoura hills,ELEC,CA,55.0
aguilar,ELEC,CO,1.0
ahwahnee,ELEC,CA,10.0
aiea,ELEC,HI,16.0
aiken,ELEC,SC,10.0
ainsworth,ELEC,NE,2.0
airway heights,ELEC,WA,15.0
ajo,ELEC,AZ,4.0
akron,ELEC,OH,80.0
akwesasne,ELEC,NY,6.0
alabaster,ELEC,AL,4.0
alachua,ELEC,FL,12.0
alameda,ELEC,CA,145.0
"alameda, ca",ELEC,CA,2.0
alamo,ELEC,NV,1.0
alamo heights,ELEC,TX,4.0
alamogordo,ELEC,NM,5.0
alamosa,ELEC,CO,10.0
alanson,ELEC,MI,3.0
albany,ELEC,OR,554.0
albemarle,ELEC,NC,4.0
albert lea,ELEC,MN,18.0
albertville,ELEC,AL,5.0
albia,ELEC,IA,2.0
albion,ELEC,NY,14.0
albuquerque,ELEC,NM,189.0
alcoa,ELEC,TN,10.0
alderson,ELEC,WV,1.0
aledo,ELEC,TX,1.0
alexander,ELEC,NC,2.0
alexander city,ELEC,AL,6.0
alexandria,ELEC,VA,266.0
algoma,ELEC,WI,2.0
algona,ELEC,IA,2.0
algonquin,ELEC,IL,20.0
alhambra,ELEC,CA,104.0
alice,ELEC,TX,11.0
aliceville,ELEC,AL,1.0
alington,ELEC,VA,3.0
aliquippa,ELEC,PA,1.0
aliso viejo,ELEC,CA,59.0
allegan,ELEC,MI,6.0
allen,ELEC,NE,29.0
allen park,ELEC,MI,24.0
allendale charter township,ELEC,MI,6.0
allentown,ELEC,PA,120.0
allenwood,ELEC,PA,2.0
allston,ELEC,MA,19.0
alma,ELEC,CO,8.0
almont,ELEC,CO,7.0
aloha,ELEC,OR,3.0
alpena,ELEC,MI,2.0
alpharetta,ELEC,GA,183.0
alpine,ELEC,CA,15.0
alsip,ELEC,IL,4.0
alston,ELEC,MA,1.0
alta,ELEC,UT,1.0
altamont,ELEC,NY,30.0
altamonte springs,ELEC,FL,18.0
altavista,ELEC,VA,4.0
alto,ELEC,GA,2.0
alton,ELEC,IL,11.0
altoona,ELEC,PA,46.0
altos hills,ELEC,CA,16.0
alturas,ELEC,CA,10.0
altus,ELEC,OK,2.0
altus afb,ELEC,OK,6.0
alva,ELEC,OK,2.0
alvarado,ELEC,TX,14.0
alvin,ELEC,TX,4.0
alys beach,ELEC,FL,4.0
amagansett,ELEC,NY,4.0
amana,ELEC,IA,3.0
amarillo,ELEC,TX,52.0
ambler,ELEC,PA,25.0
ambridge,ELEC,PA,4.0
amelia island,ELEC,FL,2.0
amenia,ELEC,NY,10.0
amer cyn,ELEC,CA,3.0
american canyon,ELEC,CA,8.0
american falls,ELEC,ID,1.0
american fork,ELEC,UT,12.0
americus,ELEC,GA,3.0
amerst,ELEC,NY,2.0
amery,ELEC,WI,5.0
ames,ELEC,IA,29.0
amesbury,ELEC,MA,31.0
amherst,ELEC,NY,116.0
amity,ELEC,OR,5.0
amityville,ELEC,NY,13.0
ammon,ELEC,ID,1.0
amsterdam,ELEC,NY,44.0
anacortes,ELEC,WA,23.0
anacostia naval station,ELEC,DC,1.0
anadarko,ELEC,OK,8.0
anaheim,ELEC,CA,605.0
anahola,ELEC,HI,2.0
anchorage,ELEC,AK,18.0
ancram,ELEC,NY,4.0
andalusia,ELEC,AL,4.0
anderson,ELEC,SC,25.0
andes,ELEC,NY,2.0
andover,ELEC,MN,32.0
andrews afb,ELEC,MD,31.0
angel fire,ELEC,NM,2.0
angels camp,ELEC,CA,2.0
angola,ELEC,IN,19.0
angwin,ELEC,CA,2.0
ankeny,ELEC,IA,12.0
ann arbo,ELEC,MI,2.0
ann arbor,ELEC,MI,186.0
annadale-on- hudson,ELEC,NY,4.0
annandale,ELEC,MN,14.0
annapolis,ELEC,MD,237.0
annapolis junction,ELEC,MD,47.0
anniston,ELEC,AL,7.0
ansonia,ELEC,CT,4.0
ansted,ELEC,WV,4.0
antelope,ELEC,CA,1.0
anthem,ELEC,AZ,4.0
anthony,ELEC,TX,2.0
antigo,ELEC,WI,2.0
antioch,ELEC,CA,55.0
antlers,ELEC,OK,4.0
anza,ELEC,CA,8.0
apache junction,ELEC,AZ,4.0
apalachicola,ELEC,FL,11.0
apex,ELEC,NC,15.0
apollo beach,ELEC,FL,8.0
apopka,ELEC,FL,26.0
apple valley,ELEC,CA,6.0
appleton,ELEC,WI,42.0
appleton city,ELEC,MO,1.0
aptos,ELEC,CA,14.0
aquebogue,ELEC,NY,1.0
aquinnah,ELEC,MA,4.0
aransas pass,ELEC,TX,3.0
arbovale,ELEC,WV,2.0
arbutus,ELEC,MD,6.0
arcade,ELEC,NY,2.0
arcadia,ELEC,CA,55.0
arcata,ELEC,CA,25.0
archbold,ELEC,OH,3.0
archdale,ELEC,NC,14.0
archer heights,ELEC,IL,4.0
arco,ELEC,ID,6.0
arcola,ELEC,IL,2.0
arden,ELEC,NC,22.0
arden hills,ELEC,MN,1.0
ardmore,ELEC,PA,34.0
arecibo,ELEC,PR,1.0
argonne,ELEC,IL,2.0
arkadelphia,ELEC,AR,10.0
arkansas city,ELEC,KS,1.0
arkville,ELEC,NY,2.0
arleta,ELEC,CA,1.0
arlington,ELEC,TX,645.0
arlington  heights,ELEC,IL,4.0
arlington heights,ELEC,IL,20.0
arnold,ELEC,MD,10.0
arroyo grande,ELEC,CA,27.0
artesia,ELEC,NM,15.0
arundel,ELEC,ME,2.0
arvada,ELEC,CO,45.0
arvin,ELEC,CA,110.0
asbury,ELEC,MO,2.0
asbury park,ELEC,NJ,10.0
ashburn,ELEC,VA,108.0
ashburnham,ELEC,MA,4.0
asheboro,ELEC,NC,23.0
asheville,ELEC,NC,172.0
ashford,ELEC,WA,8.0
ashland,ELEC,OR,119.0
ashland city,ELEC,TN,2.0
ashton,ELEC,ID,4.0
ashwaubenon,ELEC,WI,8.0
aspen,ELEC,CO,72.0
astoira,ELEC,OR,4.0
aston,ELEC,PA,2.0
astoria,ELEC,OR,37.0
atascadero,ELEC,CA,30.0
atchison,ELEC,KS,2.0
atco,ELEC,NJ,2.0
athena,ELEC,OR,2.0
athens,ELEC,GA,129.0
atherton,ELEC,CA,24.0
athol,ELEC,MA,8.0
atkins,ELEC,VA,8.0
atlanta,ELEC,GA,1870.0
atlantic city,ELEC,NJ,33.0
atlantic highlands,ELEC,NJ,2.0
atmore,ELEC,AL,1.0
atoka,ELEC,OK,1.0
attica,ELEC,OH,8.0
attleboro,ELEC,MA,10.0
atwater,ELEC,CA,29.0
au sable charter township,ELEC,MI,4.0
au sable forks,ELEC,NY,2.0
aubrey,ELEC,TX,2.0
auburn,ELEC,WA,246.0
auburn hills,ELEC,MI,90.0
augusta,ELEC,GA,106.0
aulander,ELEC,NC,2.0
aurora,ELEC,CO,329.0
austell,ELEC,GA,4.0
austin,ELEC,TX,1460.0
austinburg,ELEC,OH,1.0
austintown,ELEC,OH,1.0
avalon,ELEC,NJ,3.0
avenal,ELEC,CA,2.0
avenel,ELEC,NJ,14.0
aventura,ELEC,FL,115.0
aventure,ELEC,FL,4.0
averill park,ELEC,NY,2.0
avila beach,ELEC,CA,5.0
avoca,ELEC,IA,2.0
avon,ELEC,CO,94.0
avon lake,ELEC,OH,6.0
avon park,ELEC,FL,8.0
avondale,ELEC,AZ,37.0
avondale estates,ELEC,GA,2.0
ayer,ELEC,MA,10.0
azle,ELEC,TX,2.0
aztec,ELEC,NM,2.0
azusa,ELEC,CA,44.0
babb,ELEC,MT,2.0
babylon,ELEC,NY,4.0
bad axe,ELEC,MI,7.0
baden,ELEC,PA,4.0
baileys harbor,ELEC,WI,5.0
baileyville,ELEC,ME,8.0
bainbridge island,ELEC,WA,16.0
baiting hollow,ELEC,NY,4.0
baker,ELEC,CA,71.0
baker city,ELEC,OR,9.0
