Fuel Type Code,City,State,ZIP,EV Total Port Count (Beta)
ELEC,Sun Valley,CA,91352,59.0
ELEC,Los Angeles,CA,90024,4.0
ELEC,Los Angeles,CA,90015,7.0
ELEC,Los Angeles,CA,90012,350.0
ELEC,Long Beach,CA,90803,20.0
ELEC,Wilmington,CA,90744,10.0
ELEC,Sylmar,CA,91342,2.0
ELEC,Los Angeles,CA,90012,47.0
ELEC,Los Angeles,CA,90016,13.0
ELEC,El Monte,CA,91731,3.0
ELEC,Los Angeles,CA,90013,27.0
ELEC,La Jolla,CA,92037,1.0
ELEC,Sepulveda,CA,91343,2.0
ELEC,Riverside,CA,92503,4.0
ELEC,Pasadena,CA,91103,16.0
ELEC,Pasadena,CA,91105,2.0
ELEC,Pasadena,CA,91105,3.0
ELEC,South Pasadena,CA,91030,1.0
ELEC,Long Beach,CA,90802,1.0
ELEC,Los Angeles,CA,90045,20.0
ELEC,Northridge,CA,91324,5.0
ELEC,Ontario,CA,91764,1.0
ELEC,Oxnard,CA,93030,1.0
ELEC,Palm Springs,CA,92262,2.0
ELEC,Riverside,CA,92509,3.0
ELEC,Sacramento,CA,95837,5.0
ELEC,Santa Monica,CA,90405,2.0
ELEC,Santa Monica,CA,90405,3.0
ELEC,Sherman Oaks,CA,91423,2.0
ELEC,Universal City,CA,91608,1.0
ELEC,Van Nuys,CA,91405,4.0
ELEC,Downey,CA,90241,4.0
ELEC,San Francisco,CA,94133,1.0
ELEC,Sacramento,CA,95815,4.0
ELEC,San Francisco,CA,94115,1.0
ELEC,San Francisco,CA,94105,2.0
ELEC,San Francisco,CA,94108,1.0
ELEC,Los Angeles,CA,90012,3.0
ELEC,Northridge,CA,91330,2.0
ELEC,Northridge,CA,91330,2.0
ELEC,Northridge,CA,91330,4.0
ELEC,Los Angeles,CA,91324,4.0
ELEC,San Pedro,CA,90731,4.0
ELEC,San Fernando,CA,91342,4.0
ELEC,Los Angeles,CA,90049,27.0
ELEC,Arcadia,CA,91007,3.0
ELEC,Glendora,CA,91741,3.0
ELEC,Culver City,CA,90230,2.0
ELEC,Los Angeles,CA,90034,6.0
ELEC,Santa Ana,CA,92705,6.0
ELEC,Camarillo,CA,93012,5.0
ELEC,Brea,CA,92821,4.0
ELEC,Newbury Park,CA,91320,6.0
ELEC,Oak View,CA,93022,1.0
ELEC,San Dimas,CA,91773,2.0
ELEC,Pasadena,CA,91101,4.0
ELEC,Ventura,CA,93009,3.0
ELEC,Ventura,CA,93003,3.0
ELEC,Ventura,CA,93003,2.0
ELEC,Playa del Rey,CA,90293,21.0
ELEC,Baldwin Park,CA,91706,3.0
ELEC,South Gate,CA,90280,6.0
ELEC,Davis,CA,95616,4.0
ELEC,San Luis Obispo,CA,93401,2.0
ELEC,Wilmington,CA,90744,8.0
ELEC,Fair Oaks,CA,95628,2.0
ELEC,Sacramento,CA,95816,3.0
ELEC,Antelope,CA,95843,1.0
ELEC,Sacramento,CA,95833,1.0
ELEC,Sacramento,CA,95817,2.0
ELEC,Sacramento,CA,95822,2.0
ELEC,Placerville,CA,95667,2.0
ELEC,Vacaville,CA,95687,1.0
ELEC,Vacaville,CA,95688,4.0
ELEC,Vacaville,CA,95688,2.0
ELEC,Vacaville,CA,95688,2.0
ELEC,Vacaville,CA,95688,2.0
ELEC,Vacaville,CA,95688,9.0
ELEC,Citrus Heights,CA,95621,5.0
ELEC,Dixon,CA,95620,3.0
ELEC,Placerville,CA,95667,3.0
ELEC,El Dorado Hills,CA,95762,2.0
ELEC,Elk Grove,CA,95758,1.0
ELEC,Granite Bay,CA,95746,1.0
ELEC,Carmichael,CA,95608,1.0
ELEC,South Burlington,VT,5403,2.0
ELEC,Rio Vista,CA,94571,1.0
ELEC,Fairfield,CA,94533,2.0
ELEC,Fairfield,CA,94534,4.0
ELEC,Vallejo,CA,94590,4.0
ELEC,Los Angeles,CA,90045,20.0
ELEC,Vacaville,CA,95688,2.0
ELEC,Sacramento,CA,95831,1.0
ELEC,South Burlington,VT,5403,6.0
ELEC,Los Angeles,CA,90026,17.0
ELEC,Los Angeles,CA,90015,21.0
ELEC,Los Angeles,CA,90031,79.0
ELEC,Wilmington,CA,90744,2.0
ELEC,Van Nuys,CA,91405,97.0
ELEC,Sun Valley,CA,91352,17.0
ELEC,Lacey,WA,98503,4.0
ELEC,Portland,OR,97214,4.0
ELEC,Ukiah,CA,95482,1.0
ELEC,Vacaville,CA,95688,3.0
ELEC,Davis,CA,95616,2.0
ELEC,Davis,CA,95616,2.0
ELEC,Davis,CA,95616,10.0
ELEC,Davis,CA,95618,1.0
ELEC,Davis,CA,95618,2.0
ELEC,Lakewood,CA,90712,2.0
ELEC,Larkspur,CA,94939,1.0
ELEC,Oakland,CA,94621,4.0
ELEC,Seattle,WA,98188,121.0
ELEC,Champaign,IL,61820,4.0
ELEC,Boise,ID,83702,2.0
ELEC,Salem,OR,97303,2.0
ELEC,Beaverton,OR,97006,6.0
ELEC,Fairfield,CA,94533,4.0
ELEC,Lincoln City,OR,97367,2.0
ELEC,Old Westbury,NY,11568,4.0
ELEC,Orlando,FL,32801,2.0
ELEC,Madison,WI,53703,2.0
ELEC,Albany,OR,97321,2.0
ELEC,Portland,OR,97210,2.0
ELEC,San Luis Obispo,CA,93405,2.0
ELEC,San Luis Obispo,CA,93401,4.0
ELEC,Albany,NY,12203,8.0
ELEC,Malta,NY,12020,2.0
ELEC,Spokane,WA,99252,3.0
ELEC,Spokane,WA,99201,6.0
ELEC,Des Moines,IA,50317,1.0
ELEC,Johnston,IA,50131,1.0
ELEC,Tucson,AZ,85748,2.0
ELEC,Hanover,MD,21076,1.0
ELEC,Ewing,NJ,8628,2.0
ELEC,Eugene,OR,97405,20.0
ELEC,Houston,TX,77002,2.0
ELEC,Malta,NY,12020,1.0
ELEC,Goleta,CA,93117,1.0
ELEC,Chicago,IL,60611,2.0
ELEC,Spartanburg,SC,29306,2.0
ELEC,Spartanburg,SC,29306,2.0
ELEC,Union,SC,29379,2.0
ELEC,Fairfield,CT,6824,2.0
ELEC,New Haven,CT,6510,2.0
ELEC,New London,CT,6320,7.0
ELEC,Westport,CT,6880,2.0
ELEC,Suffield,CT,6078,2.0
ELEC,Kenosha,WI,53144,2.0
ELEC,Middleton,WI,53562,2.0
ELEC,Cleveland,OH,44103,1.0
ELEC,Huntington,WV,25703,2.0
ELEC,Orlando,FL,32819,2.0
ELEC,St. Louis,MO,63146,1.0
ELEC,Hillsboro,OR,97123,2.0
ELEC,Hillsboro,OR,97123,2.0
ELEC,Bellevue,WA,98004,2.0
ELEC,Portland,OR,97214,1.0
ELEC,Salt Lake City,UT,84119,4.0
ELEC,Hartford,CT,6105,2.0
ELEC,Windsor,CT,6095,3.0
ELEC,Overland Park,KS,66210,2.0
ELEC,Hadley,MA,1035,1.0
ELEC,Delray Beach,FL,33444,3.0
ELEC,Issaquah,WA,98027,2.0
ELEC,Redmond,WA,98052,3.0
ELEC,Hartford,CT,6106,2.0
ELEC,Boston,MA,2210,2.0
ELEC,Columbia,SC,29201,8.0
ELEC,Columbia,SC,29201,2.0
ELEC,Columbia,SC,29201,2.0
ELEC,Columbia,SC,29201,2.0
ELEC,Greenville,SC,29601,2.0
ELEC,Greenville,SC,29601,4.0
ELEC,Greenville,SC,29601,2.0
ELEC,Greenville,SC,29601,2.0
ELEC,Columbia,SC,29201,2.0
ELEC,Greenville,SC,29601,2.0
ELEC,Greenville,SC,29601,2.0
ELEC,Greenville,SC,29601,3.0
ELEC,Rock Hill,SC,29730,2.0
ELEC,Union,SC,29379,2.0
ELEC,Lockhart,SC,29364,4.0
