"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,074,296","*****","5,074,296","(X)","733,583","*****","733,583","(X)","7,359,197","*****","7,359,197","(X)","3,045,637","*****","3,045,637","(X)","39,029,342","*****","39,029,342","(X)","5,839,926","*****","5,839,926","(X)","3,626,205","*****","3,626,205","(X)","1,018,396","*****","1,018,396","(X)","671,803","*****","671,803","(X)","22,244,823","*****","22,244,823","(X)","10,912,876","*****","10,912,876","(X)","1,440,196","*****","1,440,196","(X)","1,939,033","*****","1,939,033","(X)","12,582,032","*****","12,582,032","(X)","6,833,037","*****","6,833,037","(X)","3,200,517","*****","3,200,517","(X)","2,937,150","*****","2,937,150","(X)","4,512,310","*****","4,512,310","(X)","4,590,241","*****","4,590,241","(X)","1,385,340","*****","1,385,340","(X)","6,164,660","*****","6,164,660","(X)","6,981,974","*****","6,981,974","(X)","10,034,118","*****","10,034,118","(X)","5,717,184","*****","5,717,184","(X)","2,940,057","*****","2,940,057","(X)","6,177,957","*****","6,177,957","(X)","1,122,867","*****","1,122,867","(X)","1,967,923","*****","1,967,923","(X)","3,177,772","*****","3,177,772","(X)","1,395,231","*****","1,395,231","(X)","9,261,699","*****","9,261,699","(X)","2,113,344","*****","2,113,344","(X)","19,677,151","*****","19,677,151","(X)","10,698,973","*****","10,698,973","(X)","779,261","*****","779,261","(X)","11,756,058","*****","11,756,058","(X)","4,019,800","*****","4,019,800","(X)","4,240,137","*****","4,240,137","(X)","12,972,008","*****","12,972,008","(X)","1,093,734","*****","1,093,734","(X)","5,282,634","*****","5,282,634","(X)","909,824","*****","909,824","(X)","7,051,339","*****","7,051,339","(X)","30,029,572","*****","30,029,572","(X)","3,380,800","*****","3,380,800","(X)","647,064","*****","647,064","(X)","8,683,619","*****","8,683,619","(X)","7,785,786","*****","7,785,786","(X)","1,775,156","*****","1,775,156","(X)","5,892,539","*****","5,892,539","(X)","581,381","*****","581,381","(X)","3,221,789","*****","3,221,789","(X)"
"        Male","2,461,248","±6,178","48.5%","±0.1","385,667","±2,351","52.6%","±0.3","3,678,381","±2,695","50.0%","±0.1","1,504,488","±4,216","49.4%","±0.1","19,536,425","±6,410","50.1%","±0.1","2,960,896","±4,278","50.7%","±0.1","1,776,689","±2,237","49.0%","±0.1","494,657","±1,092","48.6%","±0.1","319,763","±733","47.6%","±0.1","10,953,468","±6,169","49.2%","±0.1","5,323,951","±9,254","48.8%","±0.1","725,309","±1,983","50.4%","±0.1","976,925","±2,900","50.4%","±0.1","6,229,035","±4,838","49.5%","±0.1","3,392,667","±5,526","49.7%","±0.1","1,607,659","±3,342","50.2%","±0.1","1,473,791","±3,842","50.2%","±0.1","2,233,158","±4,243","49.5%","±0.1","2,248,146","±5,640","49.0%","±0.1","684,557","±2,382","49.4%","±0.2","3,004,117","±3,849","48.7%","±0.1","3,419,487","±2,852","49.0%","±0.1","4,979,089","±4,441","49.6%","±0.1","2,869,638","±3,494","50.2%","±0.1","1,426,689","±4,975","48.5%","±0.2","3,046,351","±5,324","49.3%","±0.1","567,273","±2,721","50.5%","±0.2","988,837","±3,287","50.2%","±0.2","1,599,922","±2,627","50.3%","±0.1","696,786","±2,415","49.9%","±0.2","4,564,704","±3,763","49.3%","±0.1","1,047,785","±5,294","49.6%","±0.3","9,628,899","±4,467","48.9%","±0.1","5,229,792","±8,297","48.9%","±0.1","398,845","±2,106","51.2%","±0.3","5,810,211","±5,193","49.4%","±0.1","2,004,195","±3,240","49.9%","±0.1","2,121,651","±3,795","50.0%","±0.1","6,399,830","±4,711","49.3%","±0.1","535,841","±1,689","49.0%","±0.2","2,569,909","±5,254","48.6%","±0.1","462,457","±3,041","50.8%","±0.3","3,462,618","±5,979","49.1%","±0.1","15,021,141","±7,437","50.0%","±0.1","1,716,117","±2,327","50.8%","±0.1","320,698","±1,554","49.6%","±0.2","4,299,314","±6,625","49.5%","±0.1","3,930,411","±4,370","50.5%","±0.1","882,101","±3,493","49.7%","±0.2","2,958,771","±4,037","50.2%","±0.1","297,855","±2,038","51.2%","±0.4","1,528,789","±3,493","47.5%","±0.1"
"        Female","2,613,048","±6,178","51.5%","±0.1","347,916","±2,351","47.4%","±0.3","3,680,816","±2,695","50.0%","±0.1","1,541,149","±4,216","50.6%","±0.1","19,492,917","±6,410","49.9%","±0.1","2,879,030","±4,278","49.3%","±0.1","1,849,516","±2,237","51.0%","±0.1","523,739","±1,092","51.4%","±0.1","352,040","±733","52.4%","±0.1","11,291,355","±6,169","50.8%","±0.1","5,588,925","±9,254","51.2%","±0.1","714,887","±1,983","49.6%","±0.1","962,108","±2,900","49.6%","±0.1","6,352,997","±4,838","50.5%","±0.1","3,440,370","±5,526","50.3%","±0.1","1,592,858","±3,342","49.8%","±0.1","1,463,359","±3,842","49.8%","±0.1","2,279,152","±4,243","50.5%","±0.1","2,342,095","±5,640","51.0%","±0.1","700,783","±2,382","50.6%","±0.2","3,160,543","±3,849","51.3%","±0.1","3,562,487","±2,852","51.0%","±0.1","5,055,029","±4,442","50.4%","±0.1","2,847,546","±3,494","49.8%","±0.1","1,513,368","±4,975","51.5%","±0.2","3,131,606","±5,324","50.7%","±0.1","555,594","±2,721","49.5%","±0.2","979,086","±3,287","49.8%","±0.2","1,577,850","±2,627","49.7%","±0.1","698,445","±2,415","50.1%","±0.2","4,696,995","±3,763","50.7%","±0.1","1,065,559","±5,294","50.4%","±0.3","10,048,252","±4,467","51.1%","±0.1","5,469,181","±8,297","51.1%","±0.1","380,416","±2,106","48.8%","±0.3","5,945,847","±5,193","50.6%","±0.1","2,015,605","±3,240","50.1%","±0.1","2,118,486","±3,795","50.0%","±0.1","6,572,178","±4,711","50.7%","±0.1","557,893","±1,689","51.0%","±0.2","2,712,725","±5,254","51.4%","±0.1","447,367","±3,041","49.2%","±0.3","3,588,721","±5,979","50.9%","±0.1","15,008,431","±7,437","50.0%","±0.1","1,664,683","±2,327","49.2%","±0.1","326,366","±1,554","50.4%","±0.2","4,384,305","±6,625","50.5%","±0.1","3,855,375","±4,370","49.5%","±0.1","893,055","±3,493","50.3%","±0.2","2,933,768","±4,037","49.8%","±0.1","283,526","±2,038","48.8%","±0.4","1,693,000","±3,493","52.5%","±0.1"
"        Sex ratio (males per 100 females)","94.2","±0.5","(X)","(X)","110.9","±1.4","(X)","(X)","99.9","±0.1","(X)","(X)","97.6","±0.5","(X)","(X)","100.2","±0.1","(X)","(X)","102.8","±0.3","(X)","(X)","96.1","±0.2","(X)","(X)","94.4","±0.4","(X)","(X)","90.8","±0.4","(X)","(X)","97.0","±0.1","(X)","(X)","95.3","±0.3","(X)","(X)","101.5","±0.6","(X)","(X)","101.5","±0.6","(X)","(X)","98.0","±0.2","(X)","(X)","98.6","±0.3","(X)","(X)","100.9","±0.4","(X)","(X)","100.7","±0.5","(X)","(X)","98.0","±0.4","(X)","(X)","96.0","±0.5","(X)","(X)","97.7","±0.7","(X)","(X)","95.1","±0.2","(X)","(X)","96.0","±0.2","(X)","(X)","98.5","±0.2","(X)","(X)","100.8","±0.2","(X)","(X)","94.3","±0.6","(X)","(X)","97.3","±0.3","(X)","(X)","102.1","±1.0","(X)","(X)","101.0","±0.7","(X)","(X)","101.4","±0.3","(X)","(X)","99.8","±0.7","(X)","(X)","97.2","±0.2","(X)","(X)","98.3","±1.0","(X)","(X)","95.8","±0.1","(X)","(X)","95.6","±0.3","(X)","(X)","104.8","±1.1","(X)","(X)","97.7","±0.2","(X)","(X)","99.4","±0.3","(X)","(X)","100.1","±0.4","(X)","(X)","97.4","±0.1","(X)","(X)","96.0","±0.6","(X)","(X)","94.7","±0.4","(X)","(X)","103.4","±1.4","(X)","(X)","96.5","±0.3","(X)","(X)","100.1","±0.1","(X)","(X)","103.1","±0.3","(X)","(X)","98.3","±0.9","(X)","(X)","98.1","±0.3","(X)","(X)","101.9","±0.2","(X)","(X)","98.8","±0.8","(X)","(X)","100.9","±0.3","(X)","(X)","105.1","±1.5","(X)","(X)","90.3","±0.4","(X)","(X)"
"        Under 5 years","284,064","±3,192","5.6%","±0.1","46,497","±1,674","6.3%","±0.2","393,413","±1,595","5.3%","±0.1","177,765","±3,256","5.8%","±0.1","2,118,386","±3,120","5.4%","±0.1","305,063","±2,237","5.2%","±0.1","178,453","±1,296","4.9%","±0.1","54,058","±409","5.3%","±0.1","39,035","±5","5.8%","±0.1","1,101,350","±3,679","5.0%","±0.1","621,126","±4,268","5.7%","±0.1","78,927","±445","5.5%","±0.1","111,816","±1,274","5.8%","±0.1","674,211","±2,225","5.4%","±0.1","399,031","±2,404","5.8%","±0.1","180,010","±2,294","5.6%","±0.1","176,673","±2,108","6.0%","±0.1","260,433","±2,023","5.8%","±0.1","270,937","±3,377","5.9%","±0.1","61,018","±1,308","4.4%","±0.1","349,193","±2,404","5.7%","±0.1","342,252","±1,173","4.9%","±0.1","536,805","±2,218","5.3%","±0.1","328,095","±2,440","5.7%","±0.1","169,303","±3,123","5.8%","±0.1","349,648","±2,298","5.7%","±0.1","57,024","±1,417","5.1%","±0.1","121,107","±1,317","6.2%","±0.1","172,575","±1,687","5.4%","±0.1","62,666","±780","4.5%","±0.1","513,333","±1,322","5.5%","±0.1","104,994","±2,120","5.0%","±0.1","1,055,455","±2,096","5.4%","±0.1","584,492","±3,748","5.5%","±0.1","47,844","±1,371","6.1%","±0.2","661,196","±3,419","5.6%","±0.1","240,173","±1,583","6.0%","±0.1","199,584","±1,813","4.7%","±0.1","668,734","±2,228","5.2%","±0.1","51,955","±1,060","4.8%","±0.1","281,426","±2,696","5.3%","±0.1","57,246","±1,781","6.3%","±0.2","402,215","±3,532","5.7%","±0.1","1,881,718","±5,476","6.3%","±0.1","228,464","±1,362","6.8%","±0.1","27,875","±849","4.3%","±0.1","481,682","±3,609","5.5%","±0.1","421,722","±2,384","5.4%","±0.1","87,469","±1,549","4.9%","±0.1","309,244","±2,162","5.2%","±0.1","30,444","±1,228","5.2%","±0.2","99,432","±2,370","3.1%","±0.1"
"        5 to 9 years","311,592","±7,473","6.1%","±0.1","49,637","±2,701","6.8%","±0.4","438,358","±9,414","6.0%","±0.1","196,453","±6,896","6.5%","±0.2","2,285,436","±21,847","5.9%","±0.1","324,472","±7,337","5.6%","±0.1","195,805","±5,923","5.4%","±0.2","57,518","±2,883","5.6%","±0.3","37,268","±3,967","5.5%","±0.6","1,162,982","±16,643","5.2%","±0.1","683,215","±11,581","6.3%","±0.1","82,233","±2,953","5.7%","±0.2","127,781","±4,429","6.6%","±0.2","735,342","±11,941","5.8%","±0.1","439,398","±8,731","6.4%","±0.1","200,720","±5,614","6.3%","±0.2","186,340","±6,025","6.3%","±0.2","281,095","±7,520","6.2%","±0.2","287,552","±7,900","6.3%","±0.2","69,458","±3,344","5.0%","±0.2","373,075","±9,033","6.1%","±0.1","359,840","±8,210","5.2%","±0.1","571,751","±9,221","5.7%","±0.1","363,889","±7,367","6.4%","±0.1","176,516","±5,984","6.0%","±0.2","375,656","±7,825","6.1%","±0.1","62,553","±2,589","5.6%","±0.2","130,922","±4,117","6.7%","±0.2","192,523","±6,962","6.1%","±0.2","68,161","±3,237","4.9%","±0.2","533,608","±11,006","5.8%","±0.1","123,352","±4,650","5.8%","±0.2","1,070,033","±12,564","5.4%","±0.1","621,266","±12,881","5.8%","±0.1","52,217","±3,426","6.7%","±0.4","691,486","±12,866","5.9%","±0.1","262,609","±5,441","6.5%","±0.1","229,279","±5,544","5.4%","±0.1","719,322","±11,598","5.5%","±0.1","53,959","±3,261","4.9%","±0.3","309,601","±8,361","5.9%","±0.2","59,977","±2,949","6.6%","±0.3","422,122","±10,483","6.0%","±0.1","2,070,802","±24,772","6.9%","±0.1","253,833","±6,553","7.5%","±0.2","30,605","±2,082","4.7%","±0.3","507,493","±9,686","5.8%","±0.1","464,035","±9,942","6.0%","±0.1","96,217","±4,323","5.4%","±0.2","333,686","±6,625","5.7%","±0.1","37,271","±2,476","6.4%","±0.4","133,195","±5,816","4.1%","±0.2"
"        10 to 14 years","318,523","±6,736","6.3%","±0.1","51,178","±2,543","7.0%","±0.3","463,552","±8,932","6.3%","±0.1","200,389","±6,518","6.6%","±0.2","2,550,172","±21,247","6.5%","±0.1","360,878","±7,254","6.2%","±0.1","217,577","±5,344","6.0%","±0.1","59,905","±2,872","5.9%","±0.3","31,558","±3,948","4.7%","±0.6","1,260,197","±16,723","5.7%","±0.1","741,043","±12,005","6.8%","±0.1","88,272","±2,793","6.1%","±0.2","139,762","±4,051","7.2%","±0.2","808,148","±11,403","6.4%","±0.1","445,513","±9,145","6.5%","±0.1","207,426","±5,779","6.5%","±0.2","203,412","±5,981","6.9%","±0.2","284,053","±7,101","6.3%","±0.2","313,246","±7,814","6.8%","±0.2","70,100","±3,470","5.1%","±0.3","387,050","±9,029","6.3%","±0.1","386,696","±8,192","5.5%","±0.1","615,180","±9,008","6.1%","±0.1","368,761","±7,573","6.5%","±0.1","205,864","±6,416","7.0%","±0.2","394,409","±7,666","6.4%","±0.1","72,960","±2,963","6.5%","±0.3","137,862","±4,112","7.0%","±0.2","200,260","±7,270","6.3%","±0.2","70,890","±3,072","5.1%","±0.2","585,993","±11,086","6.3%","±0.1","141,184","±5,329","6.7%","±0.3","1,161,685","±12,162","5.9%","±0.1","678,318","±12,032","6.3%","±0.1","51,533","±3,345","6.6%","±0.4","747,870","±12,873","6.4%","±0.1","282,676","±5,313","7.0%","±0.1","250,140","±6,312","5.9%","±0.1","761,677","±11,171","5.9%","±0.1","59,764","±3,107","5.5%","±0.3","327,157","±8,322","6.2%","±0.2","63,989","±2,919","7.0%","±0.3","439,813","±10,748","6.2%","±0.2","2,173,132","±24,771","7.2%","±0.1","278,120","±6,829","8.2%","±0.2","34,125","±2,362","5.3%","±0.4","544,175","±9,051","6.3%","±0.1","473,406","±9,870","6.1%","±0.1","102,819","±4,467","5.8%","±0.3","369,101","±6,227","6.3%","±0.1","38,701","±2,596","6.7%","±0.4","170,757","±6,027","5.3%","±0.2"
"        15 to 19 years","340,067","±5,792","6.7%","±0.1","44,794","±1,801","6.1%","±0.2","487,734","±3,558","6.6%","±0.1","203,500","±4,411","6.7%","±0.1","2,568,788","±5,216","6.6%","±0.1","369,814","±4,384","6.3%","±0.1","245,675","±3,312","6.8%","±0.1","62,893","±1,247","6.2%","±0.1","36,668","±1,768","5.5%","±0.3","1,275,398","±6,898","5.7%","±0.1","762,949","±9,630","7.0%","±0.1","77,574","±1,949","5.4%","±0.1","138,308","±4,019","7.1%","±0.2","820,510","±5,208","6.5%","±0.1","474,821","±5,719","6.9%","±0.1","221,129","±4,029","6.9%","±0.1","207,208","±3,494","7.1%","±0.1","293,874","±4,532","6.5%","±0.1","306,657","±6,213","6.7%","±0.1","74,870","±1,802","5.4%","±0.1","389,324","±4,732","6.3%","±0.1","454,230","±3,643","6.5%","±0.1","643,459","±5,345","6.4%","±0.1","373,716","±3,043","6.5%","±0.1","215,884","±6,580","7.3%","±0.2","410,378","±4,480","6.6%","±0.1","69,694","±2,223","6.2%","±0.2","142,514","±3,233","7.2%","±0.2","193,726","±2,138","6.1%","±0.1","85,585","±2,596","6.1%","±0.2","576,961","±4,736","6.2%","±0.1","144,717","±3,888","6.8%","±0.2","1,198,745","±4,885","6.1%","±0.1","704,046","±7,187","6.6%","±0.1","55,008","±2,447","7.1%","±0.3","757,937","±6,392","6.4%","±0.1","283,637","±3,133","7.1%","±0.1","257,747","±4,421","6.1%","±0.1","841,351","±5,256","6.5%","±0.1","73,740","±2,384","6.7%","±0.2","347,645","±6,143","6.6%","±0.1","62,422","±2,093","6.9%","±0.2","446,948","±6,192","6.3%","±0.1","2,160,735","±10,021","7.2%","±0.1","277,956","±3,088","8.2%","±0.1","43,011","±2,168","6.6%","±0.3","569,202","±8,806","6.6%","±0.1","457,060","±3,998","5.9%","±0.1","111,760","±3,409","6.3%","±0.2","385,002","±3,621","6.5%","±0.1","38,287","±2,069","6.6%","±0.4","197,196","±4,333","6.1%","±0.1"
"        20 to 24 years","345,126","±5,567","6.8%","±0.1","52,259","±1,701","7.1%","±0.2","522,484","±3,411","7.1%","±0.1","209,906","±4,899","6.9%","±0.2","2,639,787","±6,017","6.8%","±0.1","395,695","±4,684","6.8%","±0.1","243,507","±3,083","6.7%","±0.1","59,981","±1,195","5.9%","±0.1","48,043","±1,721","7.2%","±0.3","1,340,486","±7,610","6.0%","±0.1","771,563","±9,775","7.1%","±0.1","89,347","±1,961","6.2%","±0.1","141,188","±3,869","7.3%","±0.2","850,982","±5,300","6.8%","±0.1","489,814","±5,140","7.2%","±0.1","231,721","±4,479","7.2%","±0.1","218,626","±4,578","7.4%","±0.2","301,356","±4,773","6.7%","±0.1","315,728","±6,665","6.9%","±0.1","79,753","±1,880","5.8%","±0.1","379,802","±4,309","6.2%","±0.1","491,572","±3,398","7.0%","±0.1","687,971","±5,031","6.9%","±0.1","364,158","±3,904","6.4%","±0.1","209,168","±6,534","7.1%","±0.2","411,856","±4,855","6.7%","±0.1","75,198","±2,828","6.7%","±0.3","135,424","±3,266","6.9%","±0.2","194,836","±2,331","6.1%","±0.1","83,149","±2,220","6.0%","±0.2","569,581","±4,639","6.1%","±0.1","145,968","±4,689","6.9%","±0.2","1,298,992","±5,658","6.6%","±0.1","738,731","±9,392","6.9%","±0.1","57,873","±2,507","7.4%","±0.3","766,640","±5,581","6.5%","±0.1","289,564","±3,700","7.2%","±0.1","259,457","±4,010","6.1%","±0.1","829,180","±5,959","6.4%","±0.1","76,125","±2,306","7.0%","±0.2","351,883","±6,521","6.7%","±0.1","60,455","±2,554","6.6%","±0.3","472,131","±5,586","6.7%","±0.1","2,145,802","±12,016","7.1%","±0.1","299,515","±2,976","8.9%","±0.1","43,805","±2,132","6.8%","±0.3","602,285","±8,762","6.9%","±0.1","499,354","±4,120","6.4%","±0.1","114,325","±3,806","6.4%","±0.2","407,006","±3,603","6.9%","±0.1","36,882","±2,425","6.3%","±0.4","216,771","±4,738","6.7%","±0.1"
